OTU_ID	M0	M1.5	M10	M11	M12	M13	M14	M15	M16	M17	M19	M20	M21	M22	M3.1	M3.2	M4	M5	M6	M7	M8.1	M8.2	M9	MEB	MSB
ID0000272M	484	404	1474	1359	1354	864	613	451	301	137	89	70	63	3	851	653	1451	1796	1725	1096	1040	1070	1628	40	0
ID0000274M	1	1	3	9	18	84	98	180	183	336	351	781	449	6324	0	3	2	3	4	0	7	0	1	833	0
ID0000276M	0	0	8	90	94	539	537	734	1399	2304	2476	2515	2708	428	1	1	9	1	7	6	25	3	25	0	0
ID0000278M	0	0	5	20	13	7	8	1	5	6	9	9	19	0	5	2	7	4	16	3	5	9	8	0	0
ID0000282M	0	0	0	1	0	0	0	1	2	16	8	6	0	36	1	0	3	0	0	0	0	0	0	69	0
ID0000286M	15	7	56	18	15	9	6	11	18	114	64	33	2215	87	8	64	97	24	72	24	48	49	50	930	1367
ID0000287M	6	17	63	16	24	13	6	5	10	15	33	17	24	33	68	35	127	187	199	133	63	90	162	0	0
ID0000288M	5038	2539	30	36	29	10	13	7	11	6	28	14	48	490	2069	2122	1290	892	136	90	77	82	156	67	0
ID0000290M	42	16	219	166	114	98	55	29	8	5	3	11	0	20	41	88	159	99	208	160	166	121	229	2374	2979
ID0000291M	0	0	0	1	0	0	1	3	4	14	10	19	14	7	1	0	0	0	0	0	0	0	0	0	0
ID0000294M	89	52	66	91	33	16	16	17	77	144	124	126	296	961	65	68	48	74	83	46	45	41	99	62	0
ID0000295M	467	379	435	215	125	28	11	6	8	7	8	3	18	22	498	461	360	252	211	184	292	408	674	2194	0
ID0000298M	42	20	3230	12228	11156	7162	4762	3245	2594	1420	1240	779	781	69	40	50	115	956	2209	547	845	985	3557	8	0
ID0000300M	475	331	29	24	12	4	6	0	2	23	5	7	0	170	287	271	195	151	98	42	59	49	59	104	0
ID0000301M	0	0	137	396	438	432	206	83	101	74	106	55	0	335	2	2	21	32	98	72	77	122	188	1	0
ID0000303M	1100	794	405	287	294	180	122	76	48	40	43	27	16	26	1319	972	1106	382	591	354	205	263	433	113	0
ID0000304M	0	0	5	16	52	76	75	79	35	5	20	2	0	4	0	0	0	4	0	1	0	0	2	0	0
ID0000307M	137	102	266	337	567	544	630	649	371	281	160	173	170	89	352	255	514	1269	356	339	275	295	268	0	0
ID0000308M	0	0	149	64	21	12	2	0	0	0	1	0	0	4	0	0	1	0	1	21	80	52	86	0	0
ID0000309M	0	0	0	2	2	38	68	156	1469	2114	2237	2892	1774	107	0	0	0	0	0	0	1	0	0	0	0
ID0000310M	0	0	0	4	7	3	2	13	19	48	93	199	173	262	0	0	0	0	0	0	0	0	0	0	0
ID0000312M	56	46	5	0	0	0	0	1	3	2	1	2	0	24	58	50	92	31	6	6	10	7	0	1	1
ID0000313M	139	282	88	101	19	102	21	50	19	3	40	19	0	5387	260	1442	370	118	293	386	322	156	307	0	0
ID0000314M	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
ID0000315M	20	23	149	665	243	49	20	7	5	0	0	0	0	0	243	281	347	450	484	350	151	240	157	8	0
ID0000316M	0	0	2270	490	499	570	661	626	538	425	270	359	179	531	1	1	18	183	3525	2937	2836	2583	2301	16	0
ID0000317M	568	374	1983	483	360	110	94	40	33	63	29	58	84	297	696	537	741	693	1691	1594	1653	1547	2147	45	0
